Date;Daytime;Nb_visitors;Arena;Outcome;Actor ;Recipient;ID_winner;ID_looser;LZeq;LZFmax;Close_resource;Close_to_resource
14/03/2021;Morning;0;Old;Fight;Dolly;Priscilla;Dolly;Priscilla;#N/A;#N/A;Water_bath;1
14/03/2021;Morning;0;Old;Intimidation;Priscilla;Dolly;Dolly;Priscilla;#N/A;#N/A;Water_bath;1
14/03/2021;Morning;0;Old;Intimidation;Priscilla;Polly;Polly;Priscilla;#N/A;#N/A;Heat_bath;1
14/03/2021;Morning;0;Old;Peaceful;Priscilla;Dolly;;;#N/A;#N/A;Water_bath;1
14/03/2021;Morning;0;Old;Peaceful;Priscilla;Polly;;;#N/A;#N/A;#N/A;0
14/03/2021;Morning;0;Old;Intimidation;Polly;Priscilla;Priscilla;Polly;#N/A;#N/A;Heat_bath;1
14/03/2021;Morning;0;Old;Peaceful;Polly;Dolly;;;#N/A;#N/A;Water_bath;1
14/03/2021;Morning;0;Old;Peaceful;Polly;Dolly;;;#N/A;#N/A;Water_bath;1
14/03/2021;Morning;0;Old;Intimidation;Priscilla;Dolly;Priscilla;Dolly;#N/A;#N/A;Water_bath;1
14/03/2021;Morning;0;Old;Peaceful;Priscilla;Polly;;;#N/A;#N/A;Water_bath;1
14/03/2021;Noon;0;Old;Fight;Priscilla;Polly;Polly;Priscilla;#N/A;#N/A;Heat_bath;1
14/03/2021;Noon;0;Old;Peaceful;Polly;Priscilla;;;#N/A;#N/A;Heat_bath;1
14/03/2021;Noon;0;Old;Intimidation;Priscilla;Polly;Priscilla;Polly;#N/A;#N/A;Heat_bath;1
14/03/2021;Noon;0;Old;Fight;Dolly;Priscilla;Priscilla;Dolly;#N/A;#N/A;Food;1
14/03/2021;Noon;0;Old;Peaceful;Polly;Dolly;;;#N/A;#N/A;Food;1
14/03/2021;Noon;0;Old;Peaceful;Polly;Dolly;;;#N/A;#N/A;Food;1
14/03/2021;Noon;0;Old;Intimidation;Priscilla;Dolly;Dolly;Priscilla;#N/A;#N/A;Food;1
14/03/2021;Noon;0;Old;Intimidation;Dolly;Priscilla;Priscilla;Dolly;#N/A;#N/A;#N/A;0
14/03/2021;Noon;0;Old;Fight;Priscilla;Dolly;Dolly;Priscilla;#N/A;#N/A;Heat_bath;1
14/03/2021;Noon;0;Old;Peaceful;Dolly;Polly;;;#N/A;#N/A;Food;1
14/03/2021;Noon;0;Old;Peaceful;Dolly;Polly;;;#N/A;#N/A;Food;1
14/03/2021;Noon;0;Old;Peaceful;Polly;Priscilla;;;#N/A;#N/A;Heat_bath;1
14/03/2021;Noon;0;Old;Peaceful;Polly;Dolly;;;#N/A;#N/A;Heat_bath;1
